org_key,year,event_key,team_key,driveBaseType,Length,Width,Weight,doAuto,numCoralAuto,canScoreAutoL1,canScoreAutoL2,canScoreAutoL3,canScoreAutoL4,StartA,StartB,StartC,StartD,StartE,describeAuto,doAutoCodeTeleop,autoCodeTeleopcoral,canPickupCoralGround,canPickupCoralFeedstation,canPickupAlgaeground,canPickupAlgaeReef,canScoreAlgaeProcessor,canScoreAlgaeNet,canScoreCoralL1,canScoreCoralL2,canScoreCoralL3,canScoreCoralL4,CageClimb,preferredStrategy,notes
frc246,2025,2025mabos,frc69,"Swerve","28","28","110","0","0","0","0","0","0","0","0","0","0","0","In progress","1","Reef","0","1","1","1","1","1","1","1","1","1","Deep Climb","",""
frc246,2025,2025rikin,frc78,"Swerve","28","28","105","1","2","0","0","0","1","0","1","0","1","0","Score, refill, score","1","Autoallighn to reef barge and coral station","0","1","1","1","1","1","1","1","1","1","Deep Climb","Algae in net plus L4 coral",""
frc246,2025,2025mabos,frc78,"Swerve","28","28","105","1","2","0","0","0","1","1","0","0","0","1","L4","1","","0","1","1","1","1","1","1","1","1","1","Deep Climb","",""
frc246,2025,2025rikin,frc88,"Swerve","27","27","110","1","2","0","0","0","1","1","0","0","0","1","","1","","0","1","1","1","1","0","1","1","1","1","Deep Climb","",""
frc246,2025,2025rikin,frc97,"Swerve","32","27","100","1","1","0","1","1","0","1","0","0","0","1","Just added auto","1","Working on auto-align","0","1","0","0","0","0","1","1","1","0","Cannot Climb","Defense + corals",""
frc246,2025,2025mabos,frc125,"Swerve","28","28","110","1","0","0","0","0","1","1","0","0","0","1","","1","","1","1","1","1","1","1","0","0","0","0","Deep Climb","",""
frc246,2025,2025rikin,frc151,"Swerve","28","28","100","0","2","1","1","0","0","0","1","0","1","0","L1 and 2","1","To score coral","0","1","1","0","1","0","1","1","1","1","Cannot Climb","Team up w/ coral team and split reef I half working from L1 down","They have cool stickers"
frc246,2025,2025mabos,frc151,"Swerve","28","28","100","1","1","1","0","0","0","1","0","1","0","1","From middle, score one l1 from left score two l1","0","","0","1","0","1","1","1","1","1","1","1","Cannot Climb","Prefer coral or algae depends on team",""
frc246,2025,2025mabos,frc175,"Swerve","38","38","110","1","0","0","0","0","0","1","1","1","1","1","leave","0","","0","1","0","1","1","1","1","1","1","1","Cannot Climb","cooperatition and coral","most confident in L2 and L3 and thinks they can score in net but not tested"
frc246,2025,2025rikin,frc181,"Swerve","31","30","110","1","0","0","0","0","0","1","1","1","1","1","Leave","0","","1","0","1","1","1","1","0","0","0","1","Shallow Climb","play by ear, what drive team wants lol","Ground intake coral, can score net algaeAlso only has a L4 set point but could technically score other levels (not reliable)Also idk what robot dimensions are"
frc246,2025,2025rikin,frc190,"Swerve","28","28","115","1","3","0","0","0","1","0","1","0","1","0","Score 3 or 4 L4 corals.","1","3 lime lights to align to the reef.","0","1","0","0","0","0","1","1","1","1","Deep Climb","Focus on coral.","Can knock algae off the reef but can’t do anything with it."
frc246,2025,2025rikin,frc348,"Swerve","27","26","85","1","0","0","0","0","0","1","1","1","1","1","","0","","0","1","0","1","0","0","1","1","1","0","Deep Climb","",""
frc246,2025,2025mabos,frc348,"Swerve","27","27","105","1","0","1","1","1","0","0","0","1","0","0","","0","","0","1","0","0","0","0","0","0","0","0","Cannot Climb","Pickup corals",""
frc246,2025,2025mabos,frc509,"Swerve","28","28","110","1","0","0","0","0","0","0","0","0","0","0","Start anywhere","0","Notbyet","1","1","1","1","1","1","1","1","1","1","Cannot Climb","Flexible depending on team, fast human player reef cycles, can quickly take algae off the reef and score it. Also puts coral on L1-4",""
frc246,2025,2025rikin,frc558,"Swerve","26","26","100","1","0","0","0","0","0","0","0","0","0","0","Maybe one l4","1","Photon measure ","0","1","1","1","1","0","1","1","1","1","Deep Climb","Mostly algae",""
frc246,2025,2025rikin,frc663,"Swerve","28","31","100","1","1","0","0","0","1","0","0","1","0","0","Score L4 coral during auto.","0"," ","0","1","0","1","0","0","0","1","1","1","Cannot Climb","Remove algae and score corals",""
frc246,2025,2025rikin,frc811,"Swerve","28","28","105","1","1","1","1","0","0","0","0","1","0","0","Center one piece for L1 or L2","0","","0","1","0","0","0","0","1","1","1","1","Shallow Climb","Can remove algae for alliance partners and then score coral, prioritizing L4",""
frc246,2025,2025rikin,frc1119,"Swerve","28","28","115","1","1","0","1","0","0","1","1","0","0","0","Knock if algae, move other robots, score one coral","1","Reef","0","1","1","0","1","0","0","1","1","0","Deep Climb","Start coral, than do algae",""
frc246,2025,2025rikin,frc1153,"Swerve","26","30","115","1","3","1","1","0","0","1","1","1","1","1","3 l1 or algae in trough and one l3","1","4 cameras on robot, calculate position on field, align to center of reef or algae, or coral station ","0","1","0","1","1","1","1","1","1","1","Deep Climb","Algae cleanup in net and cycle coral",""
frc246,2025,2025rikin,frc1350,"Swerve","29","29","100","1","2","0","0","1","1","1","1","1","1","1","Hasn’t been fully tested, but they remove one algae and score coral","1","Coral station and processer","0","1","0","1","1","0","1","1","1","1","Deep Climb","Run cycles","None of their algae has been tested"
frc246,2025,2025rikin,frc1474,"Swerve","30","30","105","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","1","1","1","0","Cannot Climb","They have not played","Inexperienced"
frc246,2025,2025rikin,frc1699,"Swerve","30","30","110","1","3","1","0","0","0","0","0","1","0","0","3 L1 and remove algae from reef ","0","","1","1","0","1","0","0","1","1","1","1","Cannot Climb","Coral cycling for RP",""
frc246,2025,2025rikin,frc1735,"Swerve","26","26","105","1","0","0","0","0","0","1","1","1","1","1","Move forwards.","1","Set up for left and right align.","0","1","1","1","1","1","1","1","1","1","Cannot Climb","Depends on partners. If both other robots are good with coral then they would do algae.",""
frc246,2025,2025rikin,frc1740,"Swerve","29","29","85","1","2","1","1","0","0","1","1","1","1","1","","1","","0","1","0","1","0","0","0","1","1","1","Deep Climb","",""
frc246,2025,2025rikin,frc1757,"Swerve","28","28","60","1","0","0","0","0","0","1","1","1","1","1","Prefer center, can move to the closest side of the reef","0","","0","1","0","0","0","0","0","1","1","1","Deep Climb","Want human player next to driver station, score L3,4","Can remove algae from reef but can’t score them"
frc246,2025,2025mabos,frc1761,"Swerve","30","30","115","1","0","0","0","0","0","1","1","1","1","1","They move a little bit","0","","0","1","0","0","0","0","1","1","1","1","Deep Climb","Mostly coral, can defend if needed",""
frc246,2025,2025rikin,frc1768,"Swerve","27","27","110","1","3","0","0","0","1","1","1","0","1","1","If they start on the sides they can score 3 coral, if they start in the center they can score one ","1","Reef","0","1","0","1","1","1","1","1","1","1","Deep Climb","Take algae off, score as much coral as possible.",""
frc246,2025,2025rikin,frc2064,"Swerve","30","30","100","1","1","1","0","0","0","1","0","1","0","1","Score 3 L1 and start to remove an algae, might be able to start at B and D but not sure","1","Reef, station","1","1","1","0","1","0","1","1","1","0","Deep Climb","Run 3 L1 auto and then start to remove algae then score L1,2,3",""
frc246,2025,2025rikin,frc2067,"Swerve","29","29","110","1","2","0","0","0","1","1","1","1","1","1","Score two coral, than load one","1","All coral","1","1","1","1","1","0","1","1","1","1","Deep Climb","Depends on teams their with, normally L4 coral",""
frc246,2025,2025rikin,frc2079,"Swerve","28","28","115","1","1","0","0","0","1","1","1","1","1","1","Best auto path scores one L4, may improve over the comp","1","Using April tags & limelight’s ","0","1","1","1","1","1","1","1","1","1","Cannot Climb","Mainly coral but cycle algae if it compliments the team  ","Cool design!"
frc246,2025,2025mabos,frc2084,"Swerve","28","28","115","1","0","0","0","0","0","1","1","1","1","1","Leave starting area","0","","0","1","1","1","1","0","0","1","1","1","Cannot Climb","Cycling coral on high levels, able to cycle algae quickly into processor, working with teammates",""
frc246,2025,2025mabos,frc2423,"Swerve","26","26","100","1","3","0","0","0","1","1","0","1","0","1","Start on the side, go directly to the reef, score in L4, go collect coral from the human player, then go back to score.","1","They align a little bit to the reef.","0","1","0","0","0","0","0","1","1","1","Deep Climb","Scoring a lot of coral on L4","They do have deep climb. They missed coral twice on level 4."
frc246,2025,2025mabos,frc2713,"Swerve","28","28","115","1","0","0","0","0","0","0","0","0","1","1","Drive to reed and attempt score L4","0","","0","1","0","1","1","1","1","1","1","1","Deep Climb","Do whatever needs to be done ",""
frc246,2025,2025rikin,frc2876,"Swerve","30","30","115","1","2","0","0","0","1","0","1","1","0","0","CENTRAL path does ONE central coral L4, the LEFT path does 2 L4s (they have a right path if needed but not likely to be used)","1","April tags and line up to the reef","0","1","0","0","0","0","0","1","1","1","Deep Climb","Cycling L4, go lower when needed ",""
frc246,2025,2025mabos,frc2876,"Swerve","29","29","110","1","0","0","1","1","1","0","0","1","0","0","","1","Reef","0","1","0","0","0","0","0","1","1","1","Deep Climb","",""
frc246,2025,2025mabos,frc3205,"Swerve","16","16","60","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","0","0","0","0","Cannot Climb","",""
frc246,2025,2025mabos,frc3323,"Swerve","27","32","115","1","0","0","0","0","0","1","1","1","1","1","You just move ","0","","0","1","0","1","1","0","1","0","0","1","Deep Climb","Prefer to do coral but did algae in practice match and got 5 out in quick succession.",""
frc246,2025,2025rikin,frc3464,"Swerve","30","30","115","1","1","0","0","1","0","1","1","1","1","1","No matter where they start they get the L3","1","Auto aim on all levels","0","1","1","0","1","0","1","1","1","1","Cannot Climb","Just tryna go everywhere for coral, put algae wherever if you have time.","They can knock algae off reef"
frc246,2025,2025rikin,frc3719,"Mecanum","28","29","60","1","0","0","0","0","0","1","1","1","1","1","","0","","0","0","0","1","1","0","0","0","0","0","Cannot Climb","Take 3 algae from ground into processor, do defense, block enemy barge with algae ","their mechanics look improved since last event, hope they can actually score now!"
frc246,2025,2025mabos,frc3958,"Swerve","16","16","115","1","0","0","0","0","0","1","1","1","1","1","Leave","0","","0","1","0","0","0","0","1","1","1","0","Shallow Climb","Defense? ",""
frc246,2025,2025mabos,frc4034,"Tank","31","31","85","1","0","0","0","0","0","1","1","1","1","1","","0","not sure","0","0","1","1","1","1","0","0","0","0","Cannot Climb","algae, specifically barge",""
frc246,2025,2025mabos,frc4048,"Swerve","29","29","110","1","0","0","0","0","1","1","0","1","0","1","","1","","0","1","1","1","1","0","0","0","0","0","Cannot Climb","Focus on resources.",""
frc246,2025,2025rikin,frc4176,"Swerve","27","31","110","1","1","0","0","0","1","0","0","1","0","0","Move forward, score in L4, move back.","1","Sensor auto align.","0","1","1","0","1","0","1","0","1","1","Cannot Climb","L4 coral then L1.",""
frc246,2025,2025mabos,frc4311,"Swerve","31","31","85","1","1","1","0","0","0","1","0","1","0","1","","0","","0","0","1","0","1","0","0","0","0","0","Deep Climb","Score algae in the processor during the match.","Can score coral during autonomous on L1, but focuses on algae during teleop "
frc246,2025,2025mabos,frc4761,"Swerve","30","30","100","1","0","1","1","1","0","0","0","1","0","0","Cater to whatever the other team does and make sure to contribute, they are flexible to any starting position or way to score coral so they can work well with the other team","1","We can line up with April Tag and then that’s really it","1","1","0","0","0","0","1","1","1","0","Cannot Climb","L4 can be scored untested","During the practice match they seemed to fail to get anything done. While fully capable of scoring on l1, 2 and 3 they never once succeeded yet they still look like a decent team"
frc246,2025,2025rikin,frc5000,"Swerve","29","29","110","1","3","1","1","1","1","1","1","1","1","1","","1","","0","1","0","1","0","0","1","1","1","1","Cannot Climb","speed, number of cycles of coral","they know their robot WELL"
frc246,2025,2025mabos,frc5112,"Swerve","26","26","115","1","1","0","0","0","1","1","1","1","1","1","Score L4 from preloaded coral","1","Limelights and April tags","0","1","1","1","1","0","1","1","1","1","Cannot Climb","Cycling coral, maybe taking algae off of the reef but not focused on algae","They have a lot of potential if their hypotheticals actually become practical (might be able to score in barge, and score in auto)"
frc246,2025,2025rikin,frc5112,"Swerve","26","26","110","1","0","0","0","0","0","1","1","1","1","1","Drives but still working on scoring","1","Doesnt work we’ll, yet","0","1","0","1","1","0","1","1","1","1","Cannot Climb","Prefer to put up L4s and clear algae, no problem doing L3 and L2",""
frc246,2025,2025mabos,frc5347,"Swerve","30","30","110","1","1","0","1","0","0","1","1","1","1","1","Drive out and place the coral on level 2.","1","Used to long up with the poles on the reef.","0","1","0","0","0","0","0","1","1","1","Cannot Climb","Pretty flexible, doesn’t have a set strategy.",""
frc246,2025,2025mabos,frc5459,"Swerve","29","29","115","1","1","0","0","0","1","1","1","1","1","1","Lots of possibilities- score l4, move off start, or score l4 then go to human player","1","Limelight and April tags","0","1","1","0","1","0","1","1","1","1","Cannot Climb","Lots of coral",""
frc246,2025,2025rikin,frc5494,"Swerve","30","30","105","1","0","0","0","0","0","1","1","1","1","1","Would prefer C when they get a proper auto","1","Still testing the alignment (using April tags)","0","1","1","1","1","1","1","1","1","1","Deep Climb","Alternating coral and algae, go for deep cage at 00:20","Prefer L3 L2"
frc246,2025,2025mabos,frc5563,"Swerve","28","28","115","0","0","0","0","0","0","0","0","0","0","0","Auto in progress ","0","","0","1","1","1","1","1","1","1","1","1","Deep Climb","","Prefer processor for algae "
frc246,2025,2025rikin,frc5735,"Swerve","30","30","115","1","1","0","1","0","0","0","0","0","1","1","Score from D and E but can start anywhere.","0","","0","1","0","1","0","0","1","1","1","1","Cannot Climb","Cycle L2 and L3 and to have people do L4. If they send a defense bot send one back.",""
frc246,2025,2025mabos,frc5735,"Swerve","20","20","115","1","2","0","1","1","0","1","1","1","1","1","score l2 and l3 when starting at C","0","","0","1","0","1","0","0","1","1","1","0","Cannot Climb","",""
frc246,2025,2025rikin,frc5962,"Swerve","26","34","100","1","1","1","1","0","0","1","1","1","1","1","Score L2 or L1, prefer to start in center","1","Reef and station","0","1","0","0","0","0","1","1","0","0","Cannot Climb","No preferred stay shy, can do defense, can knock of algea",""
frc246,2025,2025mabos,frc6201,"Swerve","27","27","115","1","1","0","0","0","1","1","0","1","0","1","Score l4 coral, maybe two pieces ","1","Photon and odometry","0","1","0","1","0","0","1","1","1","1","Deep Climb","L4 coral ",""
frc246,2025,2025mabos,frc6324,"Swerve","29","29","100","1","1","0","0","0","1","0","0","0","0","0","dont know","0","working on it","0","1","0","0","0","0","0","1","1","1","Cannot Climb","changes",""
frc246,2025,2025rikin,frc6333,"Mecanum","27","32","105","1","0","0","0","0","0","1","1","1","1","1","","0","","1","1","0","1","0","0","1","1","1","1","Shallow Climb","Coral",""
frc246,2025,2025mabos,frc6367,"Mecanum","32","27","110","1","1","1","0","0","0","0","0","1","0","0","Score 1 coral","0","","0","1","1","0","1","0","1","1","1","0","Cannot Climb","Focus on l1 and l2, can do algea",""
frc246,2025,2025rikin,frc6620,"Swerve","26","26","110","1","2","1","0","0","0","1","1","1","1","1","","1","","0","1","0","0","0","0","1","1","1","0","Deep Climb","","Prefer coral and can’t do algae. "
frc246,2025,2025mabos,frc6731,"Swerve","16","16","115","1","0","1","1","1","1","1","1","1","1","1","Coral not totally working yet","1","Button for a command","1","1","1","1","1","0","1","1","1","1","Cannot Climb","N/A - didn’t have a specific strategy ","Frame for robot is 0.98mx0.98m"
frc246,2025,2025rikin,frc8085,"Swerve","30","30","110","1","1","0","0","1","0","0","0","1","0","0","Score in L3 than net","1","For algae collection, coral scoring auto in devolopment","0","1","1","1","1","1","1","1","1","1","Deep Climb","L3 and 4 then coral in the net and processer","Good driver"
frc246,2025,2025mabos,frc8626,"Swerve","27","27","110","1","4","1","0","0","1","0","1","0","1","0","You pick up coral and THROW it into L4 then they ","0","","0","1","0","1","1","1","1","0","0","1","Cannot Climb","Take l4 score as much on auto and try to continue as far as it can in L1","They’re practice match proved thwart where a resilient team, after having a robot hogging L4 and unable to score, they adjusted perfectly to aim for L1 unfortunately they had a coral jam and then instantly pivoted to shooting the algae in the bucket. After a bumper breakdown prevented them from going any further, they skillfully parked and continued on."
frc246,2025,2025mabos,frc8724,"Swerve","24","24","95","1","0","0","0","0","0","0","1","0","1","0","Drive out of starting area","1","Set position for each L on the reef (except L4)","0","1","0","1","1","0","1","1","1","0","Cannot Climb","Coral based (can do algae in processor though)","they have a zombie arm!! (Live and dead axel)"
frc246,2025,2025mabos,frc9056,"Swerve","34","34","80","1","0","0","0","0","0","1","1","1","1","1","Drive forward.","0","","0","1","1","1","1","0","1","1","1","0","Cannot Climb","Algae.",""
frc246,2025,2025rikin,frc9443,"Swerve","30","30","115","1","0","0","0","0","0","1","0","1","0","1","Possible to get one L4 or one L1 by tomorrow, not sure","0","","0","1","0","1","0","0","1","1","1","1","Deep Climb","Cycling L4, knock off algae; climb at 30 seconds to be sure ","Crazy driver, good at defense fr Also can possibly do auto if they finish but not something to count on "
frc246,2025,2025mabos,frc9729,"Swerve","28","32","110","1","0","0","0","0","0","1","0","1","1","1","Can move- can start anywhere ","0","","0","0","1","1","1","1","0","0","0","0","Deep Climb","algae and play defense, steal algae",""
frc246,2025,2025mabos,frc10063,"Swerve","39","39","105","1","0","0","0","0","0","0","0","1","0","0","Untested L1 scoring, center for that but everywhere else for just moving out.","0","","0","1","0","0","0","0","0","1","1","1","Cannot Climb","",""
frc246,2025,2025mabos,frc10156,"Tank","27","32","60","0","1","1","0","0","0","0","1","1","1","0","score 2 coral on L1","0","","0","1","0","0","0","0","1","0","0","0","Cannot Climb","scoring as much as they can and also parking","qualification 3: red alliancerookie teamscored L1 coral in autoscored L1 coral in teleop x6pretty slow? but consistently scoring"
frc246,2025,2025rikin,frc10254,"Swerve","28","28","90","1","1","1","0","0","0","0","0","1","0","0","Scores one coral in the trough.","0","","0","1","1","0","1","0","1","0","0","0","Deep Climb","Algae from the ground.",""
frc246,2025,2025mabos,frc10254,"Swerve","28","29","85","1","0","1","0","0","0","0","0","1","0","0","If they start in center they can score in trough. They can leave anywhere.","0","","0","1","1","0","1","0","1","0","0","0","Deep Climb","Mostly algea","Deep climb is being put on as I am writing"
frc246,2025,2025mabos,frc10393,"Tank","18","20","60","1","1","1","0","0","0","0","0","1","0","0","","0","","0","1","0","0","0","0","1","0","0","0","Cannot Climb","Whatever’s helpful to others ",""